Trans_date,Description,Type,Amount
Jan 01, TIM HORTONS #1234 TORONTO ON, Restaurants, 8.45
Jan 02, WALMART SUPERCENTER MISSISSAUGA ON, Retail and Grocery, 23.78
Jan 03, UBER* TRIP TORONTO ON, Transportation, 15.65
Jan 04, AMAZON.COM SEATTLE WA, Retail and Grocery, 45.89
Jan 05, MCDONALD'S #4954 Q04 MISSISSAUGA ON, Restaurants, 10.18
Jan 06, SHELL OIL WOODBRIDGE ON, Transportation, 30.45
Jan 07, STARBUCKS COFFEE #1234 TORONTO ON, Restaurants, 7.15
Jan 08, COSTCO WHOLESALE SCARBOROUGH ON, Retail and Grocery, 95.12
Jan 09, APPLE.COM/BILL 866-712-7753 CA, Retail and Grocery, 3.99
Jan 10, LCBO #1234 MISSISSAUGA ON, Retail and Grocery, 65.50
Jan 11, BEST BUY #1234 TORONTO ON, Retail and Grocery, 120.34
Jan 12, SHERATON HOTELS TORONTO ON, Hotel Entertainment and Recreation, 235.00
Jan 13, TICKETMASTER TORONTO ON, Hotel Entertainment and Recreation, 105.60
Jan 14, THE HOME DEPOT #1234 MISSISSAUGA ON, Retail and Grocery, 48.20
Jan 15, STARBUCKS COFFEE #6158 MISSISSAUGA ON, Restaurants, 6.72
Jan 16, METRO #1234 TORONTO ON, Retail and Grocery, 23.45
Jan 17, GAS STATION WOODBRIDGE ON, Transportation, 40.75
Jan 18, UBER* EATS TORONTO ON, Restaurants, 25.50
Jan 19, ROGERS ******4388 888-764-3771 ON, Personal and Household Expenses, 74.13
Jan 20, FREEDOM MOBILE INC OAKVILLE ON, Personal and Household Expenses, 112.98
Jan 21, PAYPAL *NETFLIX 800-000-0000 CA, Retail and Grocery, 15.99
Jan 22, BEST BUY #1234 MISSISSAUGA ON, Retail and Grocery, 95.45
Jan 23, CANADIAN TIRE #1234 TORONTO ON, Retail and Grocery, 60.34
Jan 24, PETRO CANADA00959 WOODBRIDGE ON, Transportation, 35.00
Jan 25, TESCO #1234 TORONTO ON, Retail and Grocery, 20.78
Jan 26, STARBUCKS COFFEE #6158 MISSISSAUGA ON, Restaurants, 6.72
Jan 27, FOOD BASICS 630 MISSISSAUGA ON, Retail and Grocery, 7.33
